fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.99
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;0.71
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;0.96
2;IRRIG;0;0;0.01
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.11
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;0.92
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.31
3;IRRIG;0;0;0.2
3;IRRIG;0;0;0.18
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;0.96
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.05
4;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.01
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;1.0
