seed;fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
42;1;NIRRIG;1;1;0.9
42;1;NIRRIG;1;1;0.89
42;1;NIRRIG;1;1;0.89
42;1;IRRIG;0;0;0.15
42;1;IRRIG;0;0;0.1
42;1;IRRIG;0;0;0.16
42;1;NIRRIG;1;1;0.93
42;1;NIRRIG;1;1;0.94
42;1;IRRIG;0;0;0.1
42;1;IRRIG;0;0;0.08
42;1;IRRIG;0;0;0.08
42;1;NIRRIG;1;1;0.86
42;1;NIRRIG;1;1;0.92
42;1;NIRRIG;1;1;0.92
42;1;IRRIG;0;0;0.07
42;1;IRRIG;0;0;0.12
42;2;IRRIG;0;0;0.02
42;2;IRRIG;0;0;0.18
42;2;IRRIG;0;0;0.18
42;2;NIRRIG;1;1;0.88
42;2;NIRRIG;1;1;0.82
42;2;IRRIG;0;0;0.12
42;2;IRRIG;0;0;0.06
42;2;IRRIG;0;0;0.06
42;2;NIRRIG;1;1;0.89
42;2;NIRRIG;1;1;0.74
42;2;IRRIG;0;1;0.51
42;2;IRRIG;0;0;0.07
42;2;NIRRIG;1;1;0.72
42;2;NIRRIG;1;1;0.9
42;2;NIRRIG;1;1;0.98
42;2;NIRRIG;1;1;0.98
42;3;IRRIG;0;0;0.07
42;3;NIRRIG;1;1;0.87
42;3;NIRRIG;1;1;0.91
42;3;IRRIG;0;0;0.04
42;3;IRRIG;0;0;0.05
42;3;NIRRIG;1;1;0.85
42;3;NIRRIG;1;1;0.94
42;3;IRRIG;0;0;0.13
42;3;IRRIG;0;0;0.14
42;3;IRRIG;0;0;0.14
42;3;NIRRIG;1;1;0.77
42;3;NIRRIG;1;1;0.97
42;3;NIRRIG;1;1;0.98
42;3;IRRIG;0;0;0.13
42;3;IRRIG;0;0;0.08
42;3;NIRRIG;1;1;0.99
42;4;IRRIG;0;0;0.17
42;4;IRRIG;0;0;0.16
42;4;IRRIG;0;0;0.14
42;4;IRRIG;0;0;0.16
42;4;NIRRIG;1;1;0.9
42;4;NIRRIG;1;1;0.89
42;4;NIRRIG;1;1;0.85
42;4;NIRRIG;1;1;0.92
42;4;IRRIG;0;0;0.03
