seed;fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
42;1;IRRIG;0;0;0.1
42;1;NIRRIG;1;1;0.95
42;1;NIRRIG;1;1;0.93
42;1;NIRRIG;1;1;0.98
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.29
42;1;NIRRIG;1;1;0.91
42;1;NIRRIG;1;1;0.92
42;1;NIRRIG;1;1;0.94
42;1;IRRIG;0;0;0.04
42;1;NIRRIG;1;1;0.97
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.04
42;1;IRRIG;0;0;0.02
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;NIRRIG;1;1;0.99
42;1;NIRRIG;1;1;0.98
42;1;IRRIG;0;0;0.09
42;1;IRRIG;0;0;0.17
42;1;IRRIG;0;0;0.15
42;1;IRRIG;0;0;0.17
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;0.99
42;1;IRRIG;0;0;0.06
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.03
42;1;NIRRIG;1;1;0.82
42;1;NIRRIG;1;1;0.96
42;1;NIRRIG;1;1;0.93
42;1;NIRRIG;1;1;0.83
42;1;NIRRIG;1;1;0.91
42;1;NIRRIG;1;1;0.93
42;1;NIRRIG;1;1;0.98
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;NIRRIG;1;1;0.74
42;1;NIRRIG;1;1;0.99
42;1;NIRRIG;1;1;0.98
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.0
42;1;NIRRIG;1;1;0.92
42;1;NIRRIG;1;1;0.98
42;2;IRRIG;0;0;0.03
42;2;IRRIG;0;0;0.26
42;2;IRRIG;0;0;0.31
42;2;NIRRIG;1;1;0.98
42;2;IRRIG;0;0;0.02
42;2;IRRIG;0;0;0.31
42;2;NIRRIG;1;1;0.6
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.07
42;2;IRRIG;0;1;0.55
42;2;NIRRIG;1;1;0.77
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.0
42;2;NIRRIG;1;1;1.0
42;2;IRRIG;0;0;0.01
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.0
42;2;NIRRIG;1;1;0.92
42;2;NIRRIG;1;1;0.92
42;2;IRRIG;0;0;0.05
42;2;IRRIG;0;0;0.01
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.03
42;2;NIRRIG;1;1;1.0
42;2;NIRRIG;1;1;1.0
42;2;NIRRIG;1;1;1.0
42;2;NIRRIG;1;1;1.0
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.02
42;2;NIRRIG;1;1;0.94
42;2;NIRRIG;1;1;0.99
42;2;NIRRIG;1;1;0.99
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.12
42;2;NIRRIG;1;1;0.86
42;2;NIRRIG;1;1;0.98
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.06
42;2;IRRIG;0;0;0.08
42;2;NIRRIG;1;1;1.0
42;2;NIRRIG;1;1;0.84
42;2;NIRRIG;1;1;0.88
42;2;NIRRIG;1;1;0.84
42;2;NIRRIG;1;1;0.85
42;2;NIRRIG;1;1;0.8
42;2;NIRRIG;1;1;0.86
42;2;NIRRIG;1;1;0.86
42;2;NIRRIG;1;1;0.97
42;3;IRRIG;0;0;0.03
42;3;IRRIG;0;0;0.07
42;3;NIRRIG;1;1;0.93
42;3;NIRRIG;1;1;0.84
42;3;NIRRIG;1;1;0.98
42;3;IRRIG;0;0;0.34
42;3;NIRRIG;1;1;0.95
42;3;NIRRIG;1;1;0.82
42;3;NIRRIG;1;1;0.81
42;3;NIRRIG;1;1;0.79
42;3;IRRIG;0;0;0.14
42;3;NIRRIG;1;1;0.93
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.03
42;3;NIRRIG;1;1;0.99
42;3;NIRRIG;1;1;1.0
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.09
42;3;IRRIG;0;0;0.05
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.07
42;3;NIRRIG;1;1;0.98
42;3;NIRRIG;1;1;1.0
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.02
42;3;NIRRIG;1;1;1.0
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.24
42;3;IRRIG;0;0;0.22
42;3;IRRIG;0;0;0.11
42;3;NIRRIG;1;1;0.96
42;3;NIRRIG;1;1;0.96
42;3;NIRRIG;1;1;1.0
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.15
42;3;IRRIG;0;0;0.09
42;3;NIRRIG;1;1;0.83
42;3;NIRRIG;1;1;0.89
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.12
42;3;NIRRIG;1;1;1.0
42;3;NIRRIG;1;1;0.85
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.0
42;3;NIRRIG;1;1;1.0
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.01
42;3;IRRIG;0;0;0.01
42;4;IRRIG;0;0;0.02
42;4;IRRIG;0;0;0.13
42;4;NIRRIG;1;1;1.0
42;4;IRRIG;0;0;0.33
42;4;IRRIG;0;0;0.07
42;4;IRRIG;0;0;0.07
42;4;IRRIG;0;0;0.08
42;4;NIRRIG;1;1;0.91
42;4;NIRRIG;1;1;0.95
42;4;NIRRIG;1;1;0.92
42;4;NIRRIG;1;1;0.74
42;4;NIRRIG;1;1;0.73
42;4;IRRIG;0;0;0.0
42;4;NIRRIG;1;1;0.99
42;4;NIRRIG;1;1;1.0
42;4;NIRRIG;1;1;1.0
42;4;NIRRIG;1;1;0.98
42;4;IRRIG;0;0;0.09
42;4;IRRIG;0;0;0.04
42;4;IRRIG;0;0;0.0
42;4;NIRRIG;1;1;0.93
42;4;NIRRIG;1;1;0.94
42;4;NIRRIG;1;1;0.97
42;4;IRRIG;0;0;0.01
42;4;NIRRIG;1;1;0.99
42;4;NIRRIG;1;1;0.97
42;4;IRRIG;0;0;0.03
42;4;IRRIG;0;0;0.02
42;4;NIRRIG;1;1;0.99
42;4;NIRRIG;1;1;0.99
42;4;IRRIG;0;0;0.0
42;4;NIRRIG;1;1;0.95
42;4;IRRIG;0;0;0.02
42;4;IRRIG;0;0;0.01
42;4;IRRIG;0;0;0.11
42;4;NIRRIG;1;1;0.87
42;4;IRRIG;0;0;0.02
42;4;IRRIG;0;0;0.0
42;4;IRRIG;0;0;0.12
42;4;NIRRIG;1;1;0.88
42;4;IRRIG;0;0;0.01
42;4;IRRIG;0;0;0.06
42;4;NIRRIG;1;1;0.93
42;4;NIRRIG;1;1;0.99
42;4;IRRIG;0;0;0.29
42;4;IRRIG;0;0;0.08
42;4;IRRIG;0;0;0.01
42;4;NIRRIG;1;1;0.94
42;4;NIRRIG;1;1;0.92
43;1;IRRIG;0;0;0.12
43;1;IRRIG;0;0;0.13
43;1;IRRIG;0;0;0.15
43;1;IRRIG;0;0;0.15
43;1;NIRRIG;1;1;0.98
43;1;IRRIG;0;0;0.01
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.25
43;1;IRRIG;0;0;0.34
43;1;NIRRIG;1;1;0.99
43;1;NIRRIG;1;1;0.87
43;1;NIRRIG;1;1;0.88
43;1;IRRIG;0;0;0.09
43;1;IRRIG;0;0;0.08
43;1;IRRIG;0;0;0.14
43;1;NIRRIG;1;1;0.91
43;1;NIRRIG;1;1;0.65
43;1;NIRRIG;1;1;0.66
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.98
43;1;NIRRIG;1;1;0.97
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.01
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.95
43;1;NIRRIG;1;1;1.0
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.86
43;1;NIRRIG;1;1;0.96
43;1;NIRRIG;1;1;0.95
43;1;NIRRIG;1;1;0.95
43;1;NIRRIG;1;1;0.99
43;1;NIRRIG;1;1;0.92
43;1;NIRRIG;1;1;0.92
43;1;NIRRIG;1;1;0.91
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.02
43;1;NIRRIG;1;1;0.95
43;1;NIRRIG;1;1;0.86
43;1;NIRRIG;1;1;0.89
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.27
43;1;IRRIG;0;0;0.07
43;1;IRRIG;0;0;0.01
43;1;NIRRIG;1;1;0.94
43;1;NIRRIG;1;1;0.95
43;2;NIRRIG;1;1;0.95
43;2;NIRRIG;1;1;0.9
43;2;NIRRIG;1;1;1.0
43;2;NIRRIG;1;1;0.98
43;2;IRRIG;0;0;0.0
43;2;NIRRIG;1;1;0.91
43;2;NIRRIG;1;0;0.43
43;2;IRRIG;0;0;0.16
43;2;NIRRIG;1;1;0.87
43;2;NIRRIG;1;1;0.8
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.02
43;2;IRRIG;0;0;0.02
43;2;NIRRIG;1;1;0.98
43;2;IRRIG;0;0;0.07
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.0
43;2;NIRRIG;1;1;0.96
43;2;IRRIG;0;0;0.01
43;2;IRRIG;0;0;0.16
43;2;IRRIG;0;0;0.03
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.08
43;2;IRRIG;0;0;0.09
43;2;IRRIG;0;0;0.09
43;2;NIRRIG;1;1;1.0
43;2;IRRIG;0;0;0.0
43;2;NIRRIG;1;1;1.0
43;2;NIRRIG;1;1;0.98
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.11
43;2;NIRRIG;1;1;0.98
43;2;NIRRIG;1;1;1.0
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.03
43;2;NIRRIG;1;1;1.0
43;2;NIRRIG;1;1;1.0
43;2;NIRRIG;1;1;0.85
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.01
43;2;NIRRIG;1;1;0.65
43;2;NIRRIG;1;1;0.81
43;2;NIRRIG;1;1;1.0
43;2;IRRIG;0;0;0.0
43;2;NIRRIG;1;1;0.89
43;2;NIRRIG;1;1;0.97
43;2;NIRRIG;1;1;0.95
43;3;IRRIG;0;0;0.36
43;3;IRRIG;0;0;0.38
43;3;IRRIG;0;0;0.35
43;3;NIRRIG;1;1;0.96
43;3;NIRRIG;1;1;0.96
43;3;NIRRIG;1;1;0.97
43;3;NIRRIG;1;1;0.91
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.0
43;3;NIRRIG;1;1;0.98
43;3;NIRRIG;1;1;1.0
43;3;NIRRIG;1;1;1.0
43;3;NIRRIG;1;1;1.0
43;3;IRRIG;0;0;0.04
43;3;IRRIG;0;0;0.0
43;3;NIRRIG;1;1;0.95
43;3;NIRRIG;1;1;0.95
43;3;NIRRIG;1;1;0.98
43;3;NIRRIG;1;1;0.98
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.01
43;3;NIRRIG;1;1;0.98
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.0
43;3;NIRRIG;1;1;1.0
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.1
43;3;IRRIG;0;0;0.04
43;3;NIRRIG;1;1;0.93
43;3;NIRRIG;1;1;0.96
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.22
43;3;IRRIG;0;0;0.15
43;3;NIRRIG;1;1;0.94
43;3;NIRRIG;1;1;0.77
43;3;IRRIG;0;0;0.0
43;3;NIRRIG;1;1;0.99
43;3;NIRRIG;1;1;1.0
43;3;NIRRIG;1;1;0.74
43;3;NIRRIG;1;1;0.86
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.03
43;3;IRRIG;0;0;0.02
43;3;NIRRIG;1;1;0.86
43;3;NIRRIG;1;1;0.99
43;3;IRRIG;0;0;0.01
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.0
43;4;IRRIG;0;0;0.17
43;4;NIRRIG;1;1;0.99
43;4;IRRIG;0;0;0.0
43;4;IRRIG;0;1;0.57
43;4;IRRIG;0;1;0.6
43;4;NIRRIG;1;1;0.89
43;4;NIRRIG;1;1;0.89
43;4;NIRRIG;1;1;0.9
43;4;IRRIG;0;0;0.03
43;4;IRRIG;0;0;0.0
43;4;IRRIG;0;0;0.14
43;4;IRRIG;0;1;0.62
43;4;NIRRIG;1;1;0.98
43;4;IRRIG;0;0;0.0
43;4;IRRIG;0;0;0.0
43;4;NIRRIG;1;1;0.97
43;4;IRRIG;0;0;0.01
43;4;NIRRIG;1;1;0.97
43;4;IRRIG;0;0;0.01
43;4;IRRIG;0;0;0.01
43;4;NIRRIG;1;1;0.99
43;4;NIRRIG;1;1;0.99
43;4;NIRRIG;1;1;0.99
43;4;IRRIG;0;0;0.03
43;4;IRRIG;0;0;0.0
43;4;NIRRIG;1;1;0.94
43;4;NIRRIG;1;1;0.97
43;4;IRRIG;0;0;0.0
43;4;IRRIG;0;0;0.03
43;4;NIRRIG;1;1;0.97
43;4;NIRRIG;1;1;0.93
43;4;NIRRIG;1;1;0.95
43;4;NIRRIG;1;1;0.98
43;4;IRRIG;0;0;0.04
43;4;IRRIG;0;0;0.23
43;4;NIRRIG;1;1;0.77
43;4;IRRIG;0;0;0.0
43;4;IRRIG;0;0;0.31
43;4;IRRIG;0;0;0.3
43;4;NIRRIG;1;1;0.94
43;4;IRRIG;0;0;0.0
43;4;IRRIG;0;0;0.0
43;4;IRRIG;0;0;0.0
43;4;NIRRIG;1;1;0.97
43;4;NIRRIG;1;1;1.0
43;4;NIRRIG;1;1;0.99
43;4;NIRRIG;1;1;0.92
43;4;NIRRIG;1;1;0.91
43;4;NIRRIG;1;1;0.97
44;1;IRRIG;0;0;0.19
44;1;NIRRIG;1;1;0.98
44;1;NIRRIG;1;1;1.0
44;1;NIRRIG;1;1;1.0
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.32
44;1;NIRRIG;1;1;0.97
44;1;NIRRIG;1;1;0.94
44;1;NIRRIG;1;1;0.9
44;1;IRRIG;0;0;0.02
44;1;NIRRIG;1;0;0.5
44;1;NIRRIG;1;1;0.53
44;1;NIRRIG;1;0;0.46
44;1;IRRIG;0;0;0.0
44;1;NIRRIG;1;1;0.97
44;1;IRRIG;0;0;0.01
44;1;IRRIG;0;0;0.0
44;1;NIRRIG;1;1;0.99
44;1;IRRIG;0;0;0.02
44;1;IRRIG;0;0;0.02
44;1;IRRIG;0;0;0.2
44;1;IRRIG;0;0;0.05
44;1;NIRRIG;1;1;0.99
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.02
44;1;NIRRIG;1;1;0.99
44;1;NIRRIG;1;1;0.99
44;1;NIRRIG;1;1;0.99
44;1;IRRIG;0;0;0.01
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.1
44;1;IRRIG;0;0;0.02
44;1;NIRRIG;1;1;0.99
44;1;IRRIG;0;0;0.09
44;1;NIRRIG;1;1;0.88
44;1;NIRRIG;1;1;0.88
44;1;NIRRIG;1;1;0.96
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.03
44;1;NIRRIG;1;1;0.99
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.0
44;1;NIRRIG;1;1;0.92
44;1;NIRRIG;1;1;0.98
44;1;NIRRIG;1;1;0.99
44;1;IRRIG;0;0;0.17
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.0
44;1;NIRRIG;1;1;0.95
44;2;IRRIG;0;0;0.02
44;2;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.16
44;2;IRRIG;0;0;0.15
44;2;NIRRIG;1;1;0.97
44;2;NIRRIG;1;1;0.85
44;2;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.31
44;2;NIRRIG;1;1;0.99
44;2;IRRIG;0;0;0.02
44;2;IRRIG;0;0;0.14
44;2;NIRRIG;1;1;0.96
44;2;NIRRIG;1;1;0.97
44;2;NIRRIG;1;1;0.92
44;2;IRRIG;0;0;0.0
44;2;NIRRIG;1;1;0.98
44;2;NIRRIG;1;1;0.97
44;2;IRRIG;0;0;0.02
44;2;IRRIG;0;0;0.01
44;2;IRRIG;0;0;0.01
44;2;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.0
44;2;NIRRIG;1;1;0.97
44;2;IRRIG;0;0;0.02
